sku_proveedor,producto,moneda,costo_origen_historico,url_proveedor,fecha_precio,tipo_cambio_ARS,flete_por_unidad_ARS,otros_costos_ARS,precio_ML_comparable,url_ML,precio_objetivo_90_por_ciento,precio_objetivo_95_por_ciento,estado
119325,MEDICUBE RETINOL NMN BOOSTING SERUM 1.9% 30ML (119325),USD,10,https://atacadousa.com.py/cosmeticos/12488-medicube-retinol-nmn-boosting-serum-19-30ml-119325.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
119141,MEDICUBE HYALURONIC MULTI PEPTIDE SERUM 30ML (119141),USD,13.5,https://atacadousa.com.py/cosmeticos/12366-medicube-hyaluronic-multi-peptide-serum-30ml-119141.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
470448,MEDICUBE PDRN PINK COLLAGEN TONING GEL TONER PAD 120ML 70PADS (470448),USD,15,https://atacadousa.com.py/cosmeticos/10939-medicube-pdrn-pink-collagen-toning-gel-toner-pad-120ml-70pads-470448.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
576233,MEDICUBE RED ACNE BODY PEELING SHOT 110G (576233),USD,14,https://atacadousa.com.py/cosmeticos/11489-medicube-red-acne-body-peeling-shot-110g-576233.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
467448,MEDICUBE ROSEMARY PDRN DAMAGE CARE HAIR MASK 200ML (467448),USD,16,https://atacadousa.com.py/cosmeticos/12471-medicube-rosemary-pdrn-damage-care-hair-mask-200ml-467448.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
035765,KARSEELL MACA POWER VOLUME SHAMPOO 500ML (035765),USD,8.5,https://atacadousa.com.py/cosmeticos/12564-karseell-maca-power-volume-shampoo-500ml-035765.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
035741,KARSEELL MACA POWER VOLUME SHAMPOO 200ML (035741),USD,6,https://atacadousa.com.py/cosmeticos/12563-karseell-maca-power-volume-shampoo-200ml-035741.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
002542,KARSEELL MACA POWER REPAIR CURL DEFINING CREAM 500ML (002542),USD,18,https://atacadousa.com.py/cosmeticos/12555-karseell-maca-power-repair-curl-defining-cream-500ml-002542.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
035772,KARSEELL MACA POWER REPAIR CONDITIONER DEEP HYDRATION 500ML (035772),USD,9,https://atacadousa.com.py/cosmeticos/12551-karseell-maca-power-repair-conditioner-500ml-035772.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
035758,KARSEELL MACA POWER REPAIR CONDITIONER DEEP HYDRATION 200ML (035758),USD,6,https://atacadousa.com.py/cosmeticos/12550-karseell-maca-power-repair-conditioner-200ml-035758.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
033341,KARSEELL BNC ARGAN OIL LEAVE IN CONDITIONER 200ML (033341),USD,10,https://atacadousa.com.py/cosmeticos/12547-karseell-bnc-argan-oil-leave-in-conditioner-200ml-033341.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
035727,KARSEELL MACA POWER REPAIR CURL DEFINING CREAM 200ML (035727),USD,9,https://atacadousa.com.py/cosmeticos/12554-karseell-maca-power-repair-curl-defining-cream-200ml-035727.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
9326,ANUA VISIBLY FIRMING COLLAGEN RETINOL REFINING GUA SHA CREAM 80ML 9326,USD,30.5,https://atacadousa.com.py/cosmeticos/12364-creme-facial-hidratante-anua-collagen-retin-refining-gua-sha-80ml-9326.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
11823,DEAR BODY CREAM 200GR ASAD,USD,7.5,https://atacadousa.com.py/cosmeticos/11823-dear-body-cream-200gr-asad.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
11825,DEAR BODY CREAM 200GR ASAD BOURBON,USD,7.5,https://atacadousa.com.py/cosmeticos/11825-dear-body-cream-200gr-asad-bourbon.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
11826,DEAR BODY CREAM 200GR CLUB DE NUIT,USD,7.5,https://atacadousa.com.py/cosmeticos/11826-dear-body-cream-200gr-club-de-nuit.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
11827,DEAR BODY CREAM 200GR FAKHAR ROSE,USD,7.5,https://atacadousa.com.py/cosmeticos/11827-dear-body-cream-200gr-fakhar-rose.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
11828,DEAR BODY CREAM 200GR ROYAL AMBER,USD,7,https://atacadousa.com.py/cosmeticos/11828-dear-body-cream-200gr-royal-amber.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
017491,VT COSMETICS PDRN REEDLE SHOT BRUSH HAIR SERUM 100ML (017491),USD,28,https://atacadousa.com.py/cosmeticos/12351-skin-vt-pdrn-reedle-brush-hair-100ml-7491.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
678431,VT COSMETICS REEDLE SHOT 300 CICA REEDLE NO.17100 (678431),USD,29.5,https://atacadousa.com.py/cosmeticos/12343-serum-facial-vt-cosmetics-cica-reedle-shot-300-50ml-no-17100-678431.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
581774,SERUM FACIAL NUMBUZIN 5+ GLUTATHIONE VITAMIN CONCENTRATED 30ML (581774,USD,25.5,https://atacadousa.com.py/cosmeticos/12342-serum-facial-numbuzin-5-glutathione-vitamin-concentrated-30ml-581774.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
12148,MASCARA CAPILAR KARSEELL MACA POWER COLLAGEN SACHET 10ML 24PCS 035956,USD,10,https://atacadousa.com.py/cosmeticos/12148-mascara-capilar-karseell-maca-power-collagen-sashet-10ml-24pcs.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
731792,ANUA TONICO FACIAL HEARTLEAF 77% SOOTHING TONER 40ML (731792),USD,7,https://atacadousa.com.py/cosmeticos/12339-tonico-facial-anua-heartleaf-77-soothing-toner-40ml-731792.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
732829,ANUA OLEO FACIAL HEARTLEAF PORE CONTROL CLEANSING OIL 200ML (7328,USD,17,https://atacadousa.com.py/cosmeticos/12340-oleo-facial-anua-heartleaf-pore-control-cleansing-oil-200ml-732829.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
9450,LOCAO VICTORIA&#039;S SECRET AMBER ROMANCE,USD,12,https://atacadousa.com.py/cosmeticos/9450-locao-victoria-s-secret-amber-romance.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
11286,LOCAO VICTORIA&#039;S SECRET MIDNIGHT BLOOM 236ML,USD,12,https://atacadousa.com.py/cosmeticos/11286-locao-victoria-s-secret-midnight-bloom-236ml.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
589800,NUMBUZIN NO.9 EYE CREAM NAD+RETINOL VOLUMETOX 10ML (589800),USD,14,https://atacadousa.com.py/cosmeticos/11994-creme-para-contorno-de-olhos-numbuzin-no9-nadretinol-volumetox-10ml.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
256221,CREME FACIAL DR.ALTHEA 345 RELIEF CREAM 50ML(256221),USD,18.5,https://atacadousa.com.py/cosmeticos/12028-creme-facial-dralthea-345-relief-cream-50ml256221.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
12309,LOCAO VICTORIA&#039;S SECRET BARE VANILLA VACATION 236ML,USD,12,https://atacadousa.com.py/cosmeticos/12309-locao-victoria-s-secret-bare-vanilla-vacation-236ml.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
12310,LOCAO VICTORIA&#039;S SECRET LOVE SPELL VACATION 236ML,USD,12,https://atacadousa.com.py/cosmeticos/12310-locao-victoria-s-secret-love-spell-vacation236ml.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
12312,LOCAO VICTORIA&#039;S SECRET VANILLA LACE 236ML,USD,12,https://atacadousa.com.py/cosmeticos/12312-locao-victoria-s-secret-vanilla-lace-236ml.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
12314,LOCAO VICTORIA&#039;S SECRET VELVET PETALS VACATION 236ML,USD,12,https://atacadousa.com.py/cosmeticos/12314-locao-victoria-s-secret-velvet-petals-vacation-236ml.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
12330,MASCARA FACIAL SKIN1004 CENTELLA POREMIZING QUICK CLAY STICK 27G 30085,USD,14,https://atacadousa.com.py/cosmeticos/12330-mascara-facial-skin1004-centella-poremizing-quick-clay-stick-27g.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
108374,MEDICUBE ZERO PORE PAD 155G 70PADS (108374)/ (114665),USD,13.8,https://atacadousa.com.py/cosmeticos/10073-tonico-facial-medicube-lenco-zero-pore-pad-20-70unid-155gx0036owkid.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
10094,MEDICUBE DEEP VITA C CAPSULE CREAM 55G (X00481MRA9/769866),USD,16,https://atacadousa.com.py/cosmeticos/10094-creme-facial-medicube-deep-vita-c-capsule-cream-55g-x00481mra9.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
108053,MEDICUBE PDRN PINK PEPTIDE SERUM 30ML (108053),USD,13,https://atacadousa.com.py/cosmeticos/10098-serum-facial-medicube-pdrn-pink-peptide-serum-30ml-x004ezy3b5.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
468407,MEDICUBE TXA NIACINAMIDE 15 SERUM 15% 30ML (468407),USD,15,https://atacadousa.com.py/cosmeticos/10099-serum-facial-medicube-txa-niacinamide-15-serum-30ml-x004k3t3fh.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
112234,MEDICUBE TONICO FACIAL PDRN PINK CICA SOOTHING 250ML(112234),USD,15,https://atacadousa.com.py/cosmeticos/10763-tonico-facial-medicube-pdrn-pink-cica-soothing-250ml112234.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
10765,MEDICUBE SERUM FACIAL PDRN PINK COLLAGEN EXOSOME SHOT 7500 30ML(115549,USD,13,https://atacadousa.com.py/cosmeticos/10765-serum-facial-medicube-pdrn-pink-collagen-exosome-shot-7500-30ml115549.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
3101,MEDICUBE CREME FACIAL PDRN PINK HYALURONIC MOISTURIZING CREAM 50(3101),USD,13,https://atacadousa.com.py/cosmeticos/10934-creme-facial-medicube-pdrn-pink-hyaluronic-moisturizing-cream-503101.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
768524,MEDICUBE ONE DAY EXOSOME SHOT 7500 30ML(768524),USD,14.5,https://atacadousa.com.py/cosmeticos/12027-serum-facial-medicube-one-day-exosome-shot-7500-30ml768524.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
119660,MEDICUBE TXA NIACINAMIDE CAPSULE CREAM 5% 55G (119660),USD,14.75,https://atacadousa.com.py/cosmeticos/12144-creme-facial-medicube-hidratante-txa-niacinamide-capsula-55g-119660.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
573188,MEDICUBE CREME AGE-R GLUTATHIONE GLOW CAPSULE CREAM 50ML (573188),USD,15.5,https://atacadousa.com.py/cosmeticos/12307-creme-facial-medicube-age-r-glutathine-glow-capsule-cream-50ml573188.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
114313,MEDICUBE CREME FACIAL TRIPLE COLLAGEN CREAM 4.0 50ML (114313),USD,16,https://atacadousa.com.py/cosmeticos/12308-creme-facial-medicube-triple-collagen-cream-40-50ml-114313.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
334928,MEDICUBE ONE DAY EXOSOME SHOT 2000 30ML (334928),USD,13.9,https://atacadousa.com.py/cosmeticos/12315-serum-facial-medicube-one-day-exosome-shot-2000-30ml334928.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
